GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AdventureTime,org.example.adventuretime.config,LruCache.new LinkedHashMap() {...},9,12,2,0,1,1,2,1,1,1
AdventureTime,org.example.adventuretime.config,AsyncConfig,0,23,0,0,0,8,0,2,0,2
AdventureTime,org.example.adventuretime.config,CorsConfig,0,36,0,0,0,6,0,2,0,2
AdventureTime,org.example.adventuretime.config,LruCache,53,18,0,0,14,4,4,1,4,1
AdventureTime,org.example.adventuretime.config,CacheConfig,84,25,0,0,24,5,12,2,12,2
AdventureTime,org.example.adventuretime,AdventureTimeApplication,5,3,0,0,2,1,1,1,1,1
AdventureTime,org.example.adventuretime.mapper,TransportMapper,2,50,1,3,0,14,1,3,0,2
AdventureTime,org.example.adventuretime.mapper,CountryMapper,6,109,4,4,0,31,4,3,0,3
AdventureTime,org.example.adventuretime.mapper,TourMapper,11,101,5,7,1,29,5,4,0,3
AdventureTime,org.example.adventuretime.controller,LogController,173,6,12,0,40,3,11,1,5,1
AdventureTime,org.example.adventuretime.controller,VisitCounterController,9,6,0,0,2,3,1,1,1,1
AdventureTime,org.example.adventuretime.controller,WebController,2,3,0,0,1,1,1,1,1,1
AdventureTime,org.example.adventuretime.controller,TourController,171,13,22,0,38,5,22,2,11,2
AdventureTime,org.example.adventuretime.controller,CountryController,277,10,32,0,54,4,27,2,11,2
AdventureTime,org.example.adventuretime.controller,TransportController,129,10,26,0,25,4,18,2,5,2
AdventureTime,org.example.adventuretime.model,LogFileTask,9,0,0,0,4,0,1,0,1,0
AdventureTime,org.example.adventuretime.model,Country,0,8,0,0,0,2,0,1,0,1
AdventureTime,org.example.adventuretime.model,Tour,0,8,0,0,0,2,0,1,0,1
AdventureTime,org.example.adventuretime.model,Transport,0,3,0,0,0,1,0,1,0,1
AdventureTime,org.example.adventuretime.filter,VisitCounterFilter,27,6,4,0,8,3,3,1,1,1
AdventureTime,org.example.adventuretime.exception,GlobalExceptionHandler,7,3,0,0,1,1,1,1,1,1
AdventureTime,org.example.adventuretime.exception,ValidationException,4,0,0,0,2,0,1,0,1,0
AdventureTime,org.example.adventuretime.service,TourService,25,308,2,10,5,70,2,19,0,15
AdventureTime,org.example.adventuretime.service,TransportService,0,273,0,14,0,60,0,16,0,9
AdventureTime,org.example.adventuretime.service,CountryService,47,287,2,6,11,60,3,18,1,16
AdventureTime,org.example.adventuretime.logging,LogFileId,49,11,4,0,11,4,5,1,3,1
AdventureTime,org.example.adventuretime.logging,VisitCounter,27,8,2,0,4,2,4,1,3,1
AdventureTime,org.example.adventuretime.logging,LogFileGenerator,106,7,4,0,28,2,4,2,2,2
AdventureTime,org.example.adventuretime.logging,LoggingAspect,286,7,24,0,74,2,27,2,15,2
